siteId,Lon,Lat,Height
1804_5399,1803971.2195,5399175.8316,0
1805_5399,1804971.2195,5399175.8316,0
1806_5399,1805971.2195,5399175.8316,0
1807_5399,1806971.2195,5399175.8316,0
1784_5400,1783971.2195,5400175.8316,0
1785_5400,1784971.2195,5400175.8316,0
1786_5400,1785971.2195,5400175.8316,0
1787_5400,1786971.2195,5400175.8316,0
1788_5400,1787971.2195,5400175.8316,0
1789_5400,1788971.2195,5400175.8316,0
1790_5400,1789971.2195,5400175.8316,0
1791_5400,1790971.2195,5400175.8316,0
1792_5400,1791971.2195,5400175.8316,0
1793_5400,1792971.2195,5400175.8316,0
1794_5400,1793971.2195,5400175.8316,0
1795_5400,1794971.2195,5400175.8316,0
1796_5400,1795971.2195,5400175.8316,0
1797_5400,1796971.2195,5400175.8316,0
1798_5400,1797971.2195,5400175.8316,0
1799_5400,1798971.2195,5400175.8316,0
1800_5400,1799971.2195,5400175.8316,0
1801_5400,1800971.2195,5400175.8316,0
1802_5400,1801971.2195,5400175.8316,0
1803_5400,1802971.2195,5400175.8316,0
1804_5400,1803971.2195,5400175.8316,0
1805_5400,1804971.2195,5400175.8316,0
1806_5400,1805971.2195,5400175.8316,0
1807_5400,1806971.2195,5400175.8316,0
1808_5400,1807971.2195,5400175.8316,0
1784_5401,1783971.2195,5401175.8316,0
1785_5401,1784971.2195,5401175.8316,0
1786_5401,1785971.2195,5401175.8316,0
1787_5401,1786971.2195,5401175.8316,0
1788_5401,1787971.2195,5401175.8316,0
1789_5401,1788971.2195,5401175.8316,0
1790_5401,1789971.2195,5401175.8316,0
1791_5401,1790971.2195,5401175.8316,0
1792_5401,1791971.2195,5401175.8316,0
1793_5401,1792971.2195,5401175.8316,0
1794_5401,1793971.2195,5401175.8316,0
1795_5401,1794971.2195,5401175.8316,0
1796_5401,1795971.2195,5401175.8316,0
1797_5401,1796971.2195,5401175.8316,0
1798_5401,1797971.2195,5401175.8316,0
1799_5401,1798971.2195,5401175.8316,0
1800_5401,1799971.2195,5401175.8316,0
1801_5401,1800971.2195,5401175.8316,0
1802_5401,1801971.2195,5401175.8316,0
1803_5401,1802971.2195,5401175.8316,0
1804_5401,1803971.2195,5401175.8316,0
1805_5401,1804971.2195,5401175.8316,0
1806_5401,1805971.2195,5401175.8316,0
1807_5401,1806971.2195,5401175.8316,0
1808_5401,1807971.2195,5401175.8316,0
1809_5401,1808971.2195,5401175.8316,0
1784_5402,1783971.2195,5402175.8316,0
1785_5402,1784971.2195,5402175.8316,0
1786_5402,1785971.2195,5402175.8316,0
1787_5402,1786971.2195,5402175.8316,0
1788_5402,1787971.2195,5402175.8316,0
1789_5402,1788971.2195,5402175.8316,0
1790_5402,1789971.2195,5402175.8316,0
1791_5402,1790971.2195,5402175.8316,0
1792_5402,1791971.2195,5402175.8316,0
1793_5402,1792971.2195,5402175.8316,0
1794_5402,1793971.2195,5402175.8316,0
1795_5402,1794971.2195,5402175.8316,0
1796_5402,1795971.2195,5402175.8316,0
1797_5402,1796971.2195,5402175.8316,0
1798_5402,1797971.2195,5402175.8316,0
1799_5402,1798971.2195,5402175.8316,0
1800_5402,1799971.2195,5402175.8316,0
1801_5402,1800971.2195,5402175.8316,0
1802_5402,1801971.2195,5402175.8316,0
1803_5402,1802971.2195,5402175.8316,0
1804_5402,1803971.2195,5402175.8316,0
1805_5402,1804971.2195,5402175.8316,0
1806_5402,1805971.2195,5402175.8316,0
1807_5402,1806971.2195,5402175.8316,0
1808_5402,1807971.2195,5402175.8316,0
1809_5402,1808971.2195,5402175.8316,0
1810_5402,1809971.2195,5402175.8316,0
1811_5402,1810971.2195,5402175.8316,0
1785_5403,1784971.2195,5403175.8316,0
1786_5403,1785971.2195,5403175.8316,0
1787_5403,1786971.2195,5403175.8316,0
1788_5403,1787971.2195,5403175.8316,0
1789_5403,1788971.2195,5403175.8316,0
1790_5403,1789971.2195,5403175.8316,0
1791_5403,1790971.2195,5403175.8316,0
1792_5403,1791971.2195,5403175.8316,0
1793_5403,1792971.2195,5403175.8316,0
1794_5403,1793971.2195,5403175.8316,0
1795_5403,1794971.2195,5403175.8316,0
1796_5403,1795971.2195,5403175.8316,0
1797_5403,1796971.2195,5403175.8316,0
1798_5403,1797971.2195,5403175.8316,0
1799_5403,1798971.2195,5403175.8316,0
1800_5403,1799971.2195,5403175.8316,0
1801_5403,1800971.2195,5403175.8316,0
1802_5403,1801971.2195,5403175.8316,0
1803_5403,1802971.2195,5403175.8316,0
1804_5403,1803971.2195,5403175.8316,0
1805_5403,1804971.2195,5403175.8316,0
1806_5403,1805971.2195,5403175.8316,0
1807_5403,1806971.2195,5403175.8316,0
1808_5403,1807971.2195,5403175.8316,0
1809_5403,1808971.2195,5403175.8316,0
1810_5403,1809971.2195,5403175.8316,0
1811_5403,1810971.2195,5403175.8316,0
1812_5403,1811971.2195,5403175.8316,0
1813_5403,1812971.2195,5403175.8316,0
1785_5404,1784971.2195,5404175.8316,0
1786_5404,1785971.2195,5404175.8316,0
1787_5404,1786971.2195,5404175.8316,0
1788_5404,1787971.2195,5404175.8316,0
1789_5404,1788971.2195,5404175.8316,0
1790_5404,1789971.2195,5404175.8316,0
1791_5404,1790971.2195,5404175.8316,0
1792_5404,1791971.2195,5404175.8316,0
1793_5404,1792971.2195,5404175.8316,0
1794_5404,1793971.2195,5404175.8316,0
1795_5404,1794971.2195,5404175.8316,0
1796_5404,1795971.2195,5404175.8316,0
1797_5404,1796971.2195,5404175.8316,0
1798_5404,1797971.2195,5404175.8316,0
1799_5404,1798971.2195,5404175.8316,0
1800_5404,1799971.2195,5404175.8316,0
1801_5404,1800971.2195,5404175.8316,0
1802_5404,1801971.2195,5404175.8316,0
1803_5404,1802971.2195,5404175.8316,0
1804_5404,1803971.2195,5404175.8316,0
1805_5404,1804971.2195,5404175.8316,0
1806_5404,1805971.2195,5404175.8316,0
1807_5404,1806971.2195,5404175.8316,0
1808_5404,1807971.2195,5404175.8316,0
1809_5404,1808971.2195,5404175.8316,0
1810_5404,1809971.2195,5404175.8316,0
1811_5404,1810971.2195,5404175.8316,0
1812_5404,1811971.2195,5404175.8316,0
1813_5404,1812971.2195,5404175.8316,0
1814_5404,1813971.2195,5404175.8316,0
1815_5404,1814971.2195,5404175.8316,0
1816_5404,1815971.2195,5404175.8316,0
1785_5405,1784971.2195,5405175.8316,0
1786_5405,1785971.2195,5405175.8316,0
1787_5405,1786971.2195,5405175.8316,0
1788_5405,1787971.2195,5405175.8316,0
1789_5405,1788971.2195,5405175.8316,0
1790_5405,1789971.2195,5405175.8316,0
1791_5405,1790971.2195,5405175.8316,0
1792_5405,1791971.2195,5405175.8316,0
1793_5405,1792971.2195,5405175.8316,0
1794_5405,1793971.2195,5405175.8316,0
1795_5405,1794971.2195,5405175.8316,0
1796_5405,1795971.2195,5405175.8316,0
1797_5405,1796971.2195,5405175.8316,0
1798_5405,1797971.2195,5405175.8316,0
1799_5405,1798971.2195,5405175.8316,0
1800_5405,1799971.2195,5405175.8316,0
1801_5405,1800971.2195,5405175.8316,0
1802_5405,1801971.2195,5405175.8316,0
1803_5405,1802971.2195,5405175.8316,0
1804_5405,1803971.2195,5405175.8316,0
1805_5405,1804971.2195,5405175.8316,0
1806_5405,1805971.2195,5405175.8316,0
1807_5405,1806971.2195,5405175.8316,0
1808_5405,1807971.2195,5405175.8316,0
1809_5405,1808971.2195,5405175.8316,0
1810_5405,1809971.2195,5405175.8316,0
1811_5405,1810971.2195,5405175.8316,0
1812_5405,1811971.2195,5405175.8316,0
1813_5405,1812971.2195,5405175.8316,0
1814_5405,1813971.2195,5405175.8316,0
1815_5405,1814971.2195,5405175.8316,0
1816_5405,1815971.2195,5405175.8316,0
1817_5405,1816971.2195,5405175.8316,0
1785_5406,1784971.2195,5406175.8316,0
1786_5406,1785971.2195,5406175.8316,0
1787_5406,1786971.2195,5406175.8316,0
1788_5406,1787971.2195,5406175.8316,0
1789_5406,1788971.2195,5406175.8316,0
1790_5406,1789971.2195,5406175.8316,0
1791_5406,1790971.2195,5406175.8316,0
1792_5406,1791971.2195,5406175.8316,0
1793_5406,1792971.2195,5406175.8316,0
1794_5406,1793971.2195,5406175.8316,0
1795_5406,1794971.2195,5406175.8316,0
1796_5406,1795971.2195,5406175.8316,0
1797_5406,1796971.2195,5406175.8316,0
1798_5406,1797971.2195,5406175.8316,0
1799_5406,1798971.2195,5406175.8316,0
1800_5406,1799971.2195,5406175.8316,0
1801_5406,1800971.2195,5406175.8316,0
1802_5406,1801971.2195,5406175.8316,0
1803_5406,1802971.2195,5406175.8316,0
1804_5406,1803971.2195,5406175.8316,0
1805_5406,1804971.2195,5406175.8316,0
1806_5406,1805971.2195,5406175.8316,0
1807_5406,1806971.2195,5406175.8316,0
1808_5406,1807971.2195,5406175.8316,0
1809_5406,1808971.2195,5406175.8316,0
1810_5406,1809971.2195,5406175.8316,0
1811_5406,1810971.2195,5406175.8316,0
1812_5406,1811971.2195,5406175.8316,0
1813_5406,1812971.2195,5406175.8316,0
1814_5406,1813971.2195,5406175.8316,0
1815_5406,1814971.2195,5406175.8316,0
1816_5406,1815971.2195,5406175.8316,0
1817_5406,1816971.2195,5406175.8316,0
1786_5407,1785971.2195,5407175.8316,0
1787_5407,1786971.2195,5407175.8316,0
1788_5407,1787971.2195,5407175.8316,0
1789_5407,1788971.2195,5407175.8316,0
1790_5407,1789971.2195,5407175.8316,0
1791_5407,1790971.2195,5407175.8316,0
1792_5407,1791971.2195,5407175.8316,0
1793_5407,1792971.2195,5407175.8316,0
1794_5407,1793971.2195,5407175.8316,0
1795_5407,1794971.2195,5407175.8316,0
1796_5407,1795971.2195,5407175.8316,0
1797_5407,1796971.2195,5407175.8316,0
1798_5407,1797971.2195,5407175.8316,0
1799_5407,1798971.2195,5407175.8316,0
1800_5407,1799971.2195,5407175.8316,0
1801_5407,1800971.2195,5407175.8316,0
1802_5407,1801971.2195,5407175.8316,0
1803_5407,1802971.2195,5407175.8316,0
1804_5407,1803971.2195,5407175.8316,0
1805_5407,1804971.2195,5407175.8316,0
1806_5407,1805971.2195,5407175.8316,0
1807_5407,1806971.2195,5407175.8316,0
1808_5407,1807971.2195,5407175.8316,0
1809_5407,1808971.2195,5407175.8316,0
1810_5407,1809971.2195,5407175.8316,0
1811_5407,1810971.2195,5407175.8316,0
1812_5407,1811971.2195,5407175.8316,0
1813_5407,1812971.2195,5407175.8316,0
1814_5407,1813971.2195,5407175.8316,0
1815_5407,1814971.2195,5407175.8316,0
1816_5407,1815971.2195,5407175.8316,0
1817_5407,1816971.2195,5407175.8316,0
1818_5407,1817971.2195,5407175.8316,0
1819_5407,1818971.2195,5407175.8316,0
1786_5408,1785971.2195,5408175.8316,0
